what are bigos?	["Stew"]	["Polish food"]
where do they speak german?	["Canada", "German Democratic Republic", "Luxembourg", "Switzerland", "Liechtenstein", "Germany", "West Germany", "Belgium", "Vatican City", "Second Polish Republic"]	["Belgium", "Germany", "Luxembourg", "Switzerland", "Canada", "Austria", "South Africa", "Denmark", "German Democratic Republic", "Czech Republic", "West Germany", "Second Polish Republic", "Cyprus", "Vatican City", "Liechtenstein", "Grand Duchy of Baden"]
what did elliot stabler do?	["Law & Order: Special Victims Unit", "New York City Police Department"]	["Detective"]
where did thomas paine die?	["New York City"]	["New York City"]
where is byron nelson 2012?	["Roanoke"]	["Roanoke"]
where is bob marley buried?	["Bob Marley Mausoleum"]	["Bob Marley Mausoleum"]
who played elaine the pain?	["Julia Louis-Dreyfus"]	["Julia Louis-Dreyfus"]
who does japan import from?	["Canada", "Sudan", "Tanzania", "United States of America", "Kiribati", "New Zealand"]	["United States of America", "Canada", "Sudan", "Tanzania", "New Zealand", "Kiribati"]
how many mary mary sisters?	["Erica Campbell", "Tina Campbell"]	["3"]
who is president of israel?	["Shimon Peres"]	["Chaim Herzog", "Zalman Shazar", "Yitzhak Navon", "Shimon Peres", "Ephraim Katzir", "Ezer Weizman", "Chaim Weizmann", "Yitzhak Ben-Zvi", "Moshe Katsav"]
what did john irving wrote?	["Trying to Save Piggy Sneed", "The Fourth Hand", "The Cider House Rules", "The 158-Pound Marriage", "The World According to Garp", "The Hotel New Hampshire", "A Widow for One Year", "A Prayer for Owen Meany", "The Water-Method Man", "Until I Find You"]	["The Cider House Rules", "Simon Birch", "The World According to Garp", "The Hotel New Hampshire", "The Door in the Floor"]
when did the lakers 3 peat?	["2000"]	["1988 NBA Finals", "2009 NBA Finals", "1985 NBA Finals", "1982 NBA Finals", "1987 NBA Finals", "2010 NBA Finals", "1980 NBA Finals", "2002 NBA Finals", "2000 NBA Finals", "2001 NBA Finals", "1954 NBA Finals", "1953 NBA Finals", "1952 NBA Finals", "1949 BAA Finals", "1948 NBL Finals", "1950 NBA Finals", "1972 NBA Finals"]
what language brazil speak?	["Brazilian Portuguese", "Portuguese Language", "Italian Language"]	["Portuguese Language"]
who does lee clark manager?	["Birmingham City F.C."]	["Newcastle United F.C."]
where is taylor swift from?	["Reading"]	["Reading"]
where obama went to school?	["Occidental College", "Harvard Law School", "Noelani Elementary School", "Punahou School", "State Elementary School Menteng 01", "St. Francis of Assisi Catholic School", "Columbia University"]	["Columbia University", "Occidental College", "Punahou School", "Harvard Law School", "State Elementary School Menteng 01", "Noelani Elementary School", "St. Francis of Assisi Catholic School"]
who plays blaine in batman?	["Him/Herself"]	["Kevin Conroy", "Val Kilmer", "Michael Keaton", "Will Friedle", "Will Arnett", "Charles Stanley", "Peter Weller", "George Clooney", "Rino Romano", "William Baldwin", "Jason Sudeikis", "Benjamin McKenzie", "Sam Rockwell", "Christian Bale", "Bruce Greenwood", "Adam West", "Ike Barinholtz", "Jing Abalos", "Joe Krajcar"]
where is laos in world map?	["Cambodia"]	["Asia"]
what county is utica ny in?	["Oneida County"]	["Oneida County"]
when is st joseph birthday?	["March 19"]	["Missouri Western State University", "Hillyard Technical Ctr.", "Patee House", "Patee Town Historic District", "Robidoux Row", "St. Joseph Female College", "Missouri Theater and Missouri Theater Building", "Buchanan County Courthouse", "German-American Bank Building", "Edmond Jacques Eckel House", "Missouri Valley Trust Company Historic District", "Jesse James Home Museum", "Vatterott College, Saint Joseph, Missouri", "Pony Express Stables", "American College of Technology", "Cafe Acoustic", "Hollywood 10", "Wholesale Row", "Hall Street Historic District"]
where does sami yusuf live?	["United Kingdom"]	["Tehran"]
what jamaican money called?	["United States dollar"]	["Anyone can be great with money. With money, greatness is not a talent but an obligation. The trick is to be great without money.", "I haven't got as much money as some folks, but I've got as much impudence as any of them, and that's the next thing to money.", "We might make a public moan in the newspapers about the decay of conscience, but in private conversation, no matter what crimes a man may have committed or how cynically he may have debased his talent or his friends, variations on the answer Yes, but I did it for the money, satisfy all but the most tiresome objections.", "There are few ways in which a man can be more innocently employed than in getting money.", "I have imbibed such a love for money that I keep some sequins in a drawer to count, and cry over them once a week.", "Cash-payment never was, or could except for a few years be, the union-bond of man to man. Cash never yet paid one man fully his deserts to another; nor could it, nor can it, now or henceforth to the end of the world.", "However toplofty and idealistic a man may be, he can always rationalize his right to earn money.", "When I was young I used to think that money was the most important thing in life; now that I am old, I know it is.", "But it is a pretty thing to see what money will do!", "Money is like love; it kills slowly and painfully the one who withholds it, and enlivens the other who turns it on his fellow man.", "A rich man is nothing but a poor man with money.", "If you make money your god, it will plague you like the devil.", "Money is the fruit of evil, as often as the root of it.", "Money will say more in one moment than the most eloquent lover can in years.", "Sir, money, money, the most charming of all things; money, which will say more in one moment than the most elegant lover can in years. Perhaps you will say a man is not young; I answer he is rich. He is not genteel, handsome, witty, brave, good-humored, but he is rich, rich, rich, rich, rich --that one word contradicts everything you can say against him.", "Money is the seed of money, and the first guinea is sometimes more difficult to acquire than the second million.", "I am opposed to millionaires, but it would be dangerous to offer me the position.", "There is a strange and mighty race of people called the Americans who are rapidly becoming the coldest in the world because of this cruel, man-eating idol, lucre.", "Money talks and often just says, Good Bye.", "Money was never a big motivation for me, except as a way to keep score. The real excitement is playing the game.", "Money is human happiness in the abstract: he, then, who is no longer capable of enjoying human happiness in the concrete devotes his heart entirely to money.", "I never attempt to make money on the stock market. I buy on the assumption that they could close the market the next day and not reopen it for five years.", "There's only one thing money won't buy, and that is poverty.", "If you want to know what God thinks about money, just look at the people He gives it to.", "In any country where talent and virtue produce no advancement, money will be the national god. Its inhabitants will either have to possess money or make others believe that they do. Wealth will be the highest virtue, poverty the greatest vice. Those who have money will display it in every imaginable way. If their ostentation does not exceed their fortune, all will be well. But if their ostentation does exceed their fortune they will ruin themselves. In such a country, the greatest fortunes will vanish in the twinkling of an eye. Those who don't have money will ruin themselves with vain efforts to conceal their poverty. That is one kind of affluence: the outward sign of wealth for a small number, the mask of poverty for the majority, and a source of corruption for all.", "A great fortune is a great slavery.", "There are people who have money and people who are rich.", "Money is usually attracted, not pursued.", "The covetous man never has money. The prodigal will have none shortly.", "Money never made a fool of anybody; it only shows them up.", "When someone says it ain't the money, but its the principal of the thing, it's the money.", "Revenue is vanity... margin is sanity... cash is king.", "Money will buy a bed but not sleep; books but not brains; food but not appetite; finery but not beauty; a house but not a home; medicine but not health; luxuries but not culture; amusements but not happiness; religion but not salvation; a passport to everywhere but heaven.", "Money is like muck, not good except it be spread.", "Take a dollar from a thousand and it will be a thousand no more.", "The more you learn to live without, the more you'll have to live with.", "A miser grows rich by seeming poor. An extravagant man grows poor by seeming rich.", "Money is truthful. If a man speaks of honor, make him pay cash.", "Successful people make money. It's not that people who make money become successful, but that successful people attract money. They bring success to what they do.", "There is no intrinsic worth in money but what is alterable with the times, and whether a guinea goes for twenty pounds or for a shilling, it is the labor of the poor and not the high and low value that is set on gold or silver, which all the comforts of life must arise from.", "Preoccupation with money is the great test of small natures, but only a small test of great ones.", "You never suffer from a money problem, you always suffer from an idea problem.", "Profits are an opinion, cash is a fact.", "Rule No.1: Never lose money. Rule No.2: Never forget rule No.1.", "Money is better than poverty, if only for financial reasons.", "Good management is better than good income.", "It is only the poor who pay cash, and that not from virtue, but because they are refused credit.", "The buck stops here.", "Be not penny-wise. Riches have wings. Sometimes they fly away of themselves, and sometimes they must be set flying to bring in more.", "Money is like a sixth sense without which you cannot make a complete use of the other five.", "Money doesn't talk, it swears.", "God gave me my money. I believe the power to make money is a gift from God . to be developed and used to the best of our ability for the good of mankind. Having been endowed with the gift I possess, I believe it is my duty to make money and still more money and to use the money I make for the good of my fellow man according to the dictates of my conscience.", "Money cannot buy peace of mind. It cannot heal ruptured relationships, or build meaning into a life that has none.", "Finance, like time, devours its own children.", "He that is of the opinion money will do everything may well be suspected of doing everything for money.", "Part of your heritage in this society is the opportunity to become financially independent.", "When you have too much month for you paycheck, then what you need to do is realize that there is abundance all around you and focus on the abundance and not your lack and as night follows day abundance will come to you.", "A wise person should have money in their head, but not in their heart.", "Never underestimate the value of cold cash.", "We all need money, but there are degrees of desperation.", "It requires a great deal of boldness and a great deal of caution to make a great fortune, and when you have it, it requires ten times as much skill to keep it.", "Money is indeed the most important thing in the world; and all sound and successful personal and national morality should have this fact for its basis.", "The most valuable of all human possessions, next to a superior and disdainful air, is the reputation of being well-to-do.", "Sex can be dismissed as hormonal or emotional and be genuinely regretted. Money is always a calculated decision.", "Money can't buy happiness; it can, however, rent it.", "Many folks think they aren't good at earning money, when what they don't know is how to use it.", "Modern man is frantically trying to earn enough to buy things he's too busy to enjoy.", "Comparatively few people know what a million dollars actually is. To the majority it is a gaseous concept, swelling or decreasing as the occasion suggests. In the minds of politicians, perhaps more than anywhere, the notion of a million dollars has this accordion-like ability to expand or contract; if they are disposing of it, the million is a pleasing sum, reflecting warmly upon themselves; if somebody else wants it, it becomes a figure of inordinate size, not to be compassed by the rational mind.", "A feast is made for laughter, and wine maketh merry: but money answereth all things. -- Ecclesiastes 10:19", "He who gathers money little by little makes it grow. -- Proverbs 13:11", "Money is good, love is wealth.", "Money is the sinews of love, as of war.", "Money has never made man happy, nor will it, there is nothing in its nature to produce happiness. The more of it one has the more one wants.", "The want of money is the root of all evil.", "Money's a horrid thing to follow, but a charming thing to meet.", "Economy is half the battle of life. It is not so hard to earn money as to spend it well.", "But money, wife, is the true Fuller's Earth for reputations, there is not a spot or a stain but what it can take out.", "Money is flat and meant to be piled up.", "When it is a question of money, everybody is of the same religion.", "Yes! Ready money is Aladdin's lamp.", "If you can actually count your money, then you're not a rich man.", "The money men make lives after them.", "you must get money to chase you, but never let it catch up.", "But for money and the need of it, there would not be half the friendship in the world. It is powerful for good if divinely used. Give it plenty of air and it is sweet as the hawthorn; shut it up and it cankers and breeds worms.", "Many people take no care of their money till they come nearly to the end of it, and others do just the same with their time.", "If you have money, men think you are wise, handsome, and able to sing like a bird.", "Money is the most important thing in the world. It represents health, strength, honor, generosity, and beauty as conspicuously as the want of it represents illness, weakness, disgrace, meanness, and ugliness.", "If you want him to mourn, you had best leave him nothing.", "All social rules and all relations between individuals are eroded by a cash economy, avarice drags Pluto himself out of the bowels of the earth.", "Taking it all in all, I find it is more trouble to watch after money than to get it.", "The use of money is all the advantage there is in having money.", "Many people make the mistake of thinking that all the challenges in their lives would dissipate if they just had enough money. Nothing could be further from the truth. Earning more money, in and of itself, rarely frees people. It's equally ridiculous to tell yourself that greater financial freedom and mastery of your finances would not offer your greater opportunities to expand, share, and create value for yourself and others.", "I have not observed men's honesty to increase with their riches.", "No man's fortune can be an end worthy of his being.", "Make all you can, save all you can, give all you can.", "There is no fortune so strong that money cannot take it.", "No man's credit is ever as good as his money.", "When a man says money can do anything, that settles it. He hasn't any.", "If money be not they servant, it will be thy master. The covetous man cannot so properly be said to possess wealth, as that may be said to possess him.", "Money makes a good servant, but a bad master.", "Money speaks, but it speaks with a male voice.", "A single idea -- the sudden flash of a thought -- may be worth a million dollars.", "The love of money is the root of all evil.", "You can be young without money but you can't be old without it.", "The world is his who has money to go over it.", "Ideas are the beginning points of all fortunes.", "Money without brains is always dangerous.", "More gold has been mined from the thoughts of men than has been taken from the earth.", "I don't care too much for money, money can't buy me love.", "It is better that a man should tyrannize over his bank balance than over his fellow-citizens and whilst the former is sometimes denounced as being but a means to the latter, sometimes at least it is an alternative.", "If you know how to spend less than you get, you have the philosopher's stone.", "Does he council you better who bids you, Money, by right means, if you can: but by any means, make money ?", "It's important to me that money not be important to me.", "The chief value of money lies in the fact that one lives in a world in which it is overestimated.", "It is the heart that makes a man rich. He is rich according to what he is, not according to what he has.", "The only wealth is life.", "The day, water, sun, moon, night -- I do not have to purchase these things with money.", "Money, which represents the prose of life, and which is hardly spoken of in parlors without an apology, is, in its effects and laws, as beautiful as roses.", "The importance of money flows from it being a link between the present and the future.", "The highest use of capital is not to make more money, but to make money do to more for the betterment of life.", "Money is like an arm or leg -- use it or lose it.", "Dollars! All their cares, hopes, joys, affections, virtues, and associations seemed to be melted down into dollars. Whatever the chance contributions that fell into the slow cauldron of their talk, they made the gruel thick and slab with dollars. Men were weighed by their dollars, measures were gauged by their dollars; life was auctioned, appraised, put up, and knocked down for its dollars. The next respectable thing to dollars was any venture having their attainment for its end. The more of that worthless ballast, honor and fair-dealing, which any man cast overboard from the ship of his Good Nature and Good Intent, the more ample stowage-room he had for dollars. Make commerce one huge lie and mighty theft. Deface the banner of the nation for an idle rag; pollute it star by star; and cut out stripe by stripe as from the arm of a degraded soldier. Do anything for dollars! What is a flag to them!", "Money may be the husk of many things, but not the kernel. It brings you food, but not appetite; medicine, but not health; acquaintances, but not friends; servants, but not faithfulness; days of joy, but not peace and happiness.", "When I chased after money, I never had enough. When I got my life on purpose and focused on giving of myself and everything that arrived into my life, then I was prosperous.", "Our income are like our shoes; if too small, they gall and pinch us; but if too large, they cause us to stumble and trip.", "Money is always there but the pockets change.", "A nickel isn't worth a dime today.", "The Lord commonly gives riches to foolish people, to whom he gives nothing else.", "God shows his contempt for wealth by the kind of person he selects to receive it.", "His money is twice tainted: taint yours and taint mine.", "The lack of money is the root of all evils.", "Nowadays nothing but money counts: a fortune brings honors, friendships, the poor man everywhere lies low.", "Whatever you have spend less.", "Once upon a time only Washington's face was on our money, now Washington's hands are on it too.", "When money is taken freedom is forsaken.", "I know of nothing more despicable and pathetic than a man who devotes all the hours of the waking day to the making of money for money's sake.", "Money is like fire, an element as little troubled by moralizing as earth, air and water. Men can employ it as a tool or they can dance around it as if it were the incarnation of a god. Money votes socialist or monarchist, finds a profit in pornography or translations from the Bible, commissions Rembrandt and underwrites the technology of Auschwitz. It acquires its meaning from the uses to which it is put.", "The love of money grows as the money itself grows.", "If you are poor, though you dwell in the busy marketplace, no one will inquire about you; if you are rich, though you dwell in the heart of the mountains, you will have distant relatives.", "It doesn't matter whether you are rich or poor -- as long as you've got money.", "I don't like money actually, but it quiets the nerves.", "God makes, and apparel shapes; but it's money that finishes the man.", "Money begets money.", "Where gold speaks every tongue is silent.", "Money is a singular thing. It ranks with love as man's greatest source of joy. And with death as his greatest source of anxiety. Over all history it has oppressed nearly all people in one of two ways: either it has been abundant and very unreliable, or reliable and very scarce.", "It is not how much one makes but to what purpose one spends.", "It is a kind of spiritual snobbery that makes people think they can be happy without money.", "Those who are of the opinion that money will do everything may reasonably be expected to do everything for money.", "When money speaks the truth is silent.", "If you want to know what God thinks of money, look at the people he gives it to.", "Money often costs too much.", "There is only one class in the community that thinks more about money than the rich, and that is the poor. The poor can think of nothing else.", "I'm tired of love; I'm still more tired of rhyme; but money gives me pleasure all the time.", "Ready money is Aladdin's lamp.", "Money can't buy health, happiness, or what it did last year.", "The poor man's budget is full of schemes.", "When asked what would he do if he found $1 million, Yogi responded, If the guy was poor, I'd give it back.", "All riches have their origin in mind. Wealth is in ideas -- not money.", "All things are sold: the very light of heaven is venal; earth's unsparing gifts of love, the smallest and most despicable things that lurk in the abysses of the deep, all objects of our life, even life itself, and the poor pittance which the laws allow of liberty, the fellowship of man, those duties which his heart of human love should urge him to perform instinctively, are bought and sold as in a public mart of not disguising selfishness, that sets on each its price, the stamp-mark of her reign.", "Money is not required to buy one necessity of the soul.", "A fool and her money are soon courted.", "Almost any man knows how to earn money, but not one in a million knows how to spend it.", "Getting money is like digging with a needle, spending it is like water soaking into sand.", "The way by which you may get money almost without exception leads downward.", "Money differs from an automobile or mistress in being equally important to those who have it and those who do not.", "Money is like manure. You have to spread it around or it smells.", "The trick is to make sure you don't die waiting for prosperity to come.", "Why is there so much month left at the end of the money?", "When the strong box contains no more both friends and flatterers shun the door.", "Business, you know, may bring you money, but friendship hardly ever does.", "The price we have to pay for money is sometimes liberty.", "Many of the things you can count, don't count. Many of the things you can't count, really count.", "Money doesn't always bring happiness. A man with ten million dollars is no happier than a man with nine million dollars.", "Don't ever let economic alone determine your career or how you spend the majority of your time.", "The universal regard for money is the one hopeful fact in our civilization. Money is the most important thing in the world. It represents health, strength, honor, generosity and beauty. Not the least of its virtues is that it destroys base people as certainly as it fortifies and dignifies noble people.", "If a person gets his attitude toward money straight, it will help straighten out almost every other area in his life.", "Money, it turned out, was exactly like sex, you thought of nothing else if you didn't have it and thought of other things if you did.", "Money is the representative of a certain quantity of corn or other commodity. It is so much warmth, so much bread.", "Lack of money is the root of all evil.", "If you're going to lend money make sure somebody else is around. If you're going to give money make sure nobody else is around.", "There is nothing so habit-forming as money.", "The safest way to double your money is to fold over once and put it in your pocket.", "Money won't make you happy... but everybody wants to find out for themselves."]
